Ano Mês Início,Letra CID,Pericia (Qtde Proc. Concedida)
201709,G,19
201710,G,37
201711,G,25
201712,G,21
201801,G,18
201802,G,26
201803,G,31
201804,G,30
201805,G,42
201806,G,25
201807,G,24
201808,G,38
201809,G,26
201810,G,39
201811,G,35
201812,G,26
201901,G,34
201902,G,19
201903,G,25
201904,G,24
201905,G,28
201906,G,27
201907,G,12
201908,G,43
201909,G,28
201910,G,35
201911,G,38
201912,G,16
202001,G,29
202002,G,21
202003,G,36
202004,G,17
202005,G,24
202006,G,13
202007,G,15
202008,G,21
202009,G,28
202010,G,26
202011,G,28
202012,G,21
202101,G,30
202102,G,12
202103,G,16
202104,G,17
202105,G,24
202106,G,19
202107,G,22
202108,G,34
202109,G,33
202110,G,27
202111,G,35
202112,G,23
202201,G,29
202202,G,30
202203,G,38
202204,G,27
202205,G,36
202206,G,42
202207,G,25
202208,G,41
202209,G,28
202210,G,37
202211,G,31
202212,G,22
202301,G,29
202302,G,21
202303,G,35
202304,G,26
202305,G,32
202306,G,22
202307,G,27
202308,G,43
202309,G,29
202310,G,38
202311,G,35
202312,G,18
202401,G,41
202402,G,29
202403,G,33
202404,G,42
202405,G,39
202406,G,36
202407,G,23
202408,G,17
202409,G,1
201107,H,3
201108,H,8
201109,H,2
201110,H,1
201111,H,1
201112,H,3
201201,H,6
201202,H,4
201203,H,2
201204,H,3
201205,H,1
201206,H,4
201207,H,2
201208,H,2
201209,H,6
201210,H,6
201211,H,7
201212,H,6
201301,H,9
201302,H,12
201303,H,9
201304,H,13
201305,H,9
201306,H,14
201307,H,19
201308,H,23
201309,H,15
201310,H,25
201311,H,28
201312,H,16
201401,H,24
201402,H,36
201403,H,30
201404,H,47
201405,H,63
201406,H,36
201407,H,48
201408,H,83
201409,H,73
201410,H,66
201411,H,63
201412,H,40
201501,H,55
201502,H,41
201503,H,64
201504,H,57
201505,H,61
201506,H,59
201507,H,56
201508,H,61
201509,H,71
201510,H,85
201511,H,71
201512,H,48
201601,H,64
201602,H,63
201603,H,74
201604,H,69
201605,H,67
201606,H,46
201607,H,37
201608,H,71
201609,H,62
201610,H,66
201611,H,40
201612,H,37
201701,H,44
201702,H,52
201703,H,79
201704,H,50
201705,H,71
201706,H,50
201707,H,39
201708,H,71
201709,H,61
201710,H,63
201711,H,56
201712,H,41
201801,H,74
201802,H,83
201803,H,97
201804,H,91
201805,H,42
201806,H,53
201807,H,42
201808,H,78
201809,H,80
201810,H,67
201811,H,86
201812,H,41
201901,H,39
201902,H,40
201903,H,57
201904,H,59
201905,H,63
201906,H,38
201907,H,52
201908,H,63
201909,H,68
201910,H,79
201911,H,77
201912,H,34
202001,H,47
202002,H,58
202003,H,25
202004,H,13
202005,H,20
202006,H,21
202007,H,21
202008,H,20
202009,H,26
202010,H,33
202011,H,30
202012,H,21
202101,H,34
202102,H,35
202103,H,26
202104,H,23
202105,H,24
202106,H,33
202107,H,38
202108,H,69
202109,H,63
202110,H,47
202111,H,64
202112,H,30
202201,H,55
202202,H,45
202203,H,53
202204,H,51
202205,H,60
202206,H,64
202207,H,54
202208,H,132
202209,H,87
202210,H,87
202211,H,79
202212,H,50
202301,H,65
202302,H,73
202303,H,78
202304,H,67
202305,H,58
202306,H,61
202307,H,64
202308,H,110
202309,H,81
202310,H,83
202311,H,93
202312,H,63
202401,H,80
202402,H,68
202403,H,84
202404,H,94
202405,H,68
202406,H,95
202407,H,58
202408,H,51
200107,I,1
201004,I,1
201010,I,1
201101,I,2
201102,I,1
201103,I,1
201104,I,1
201105,I,1
201106,I,3
201107,I,2
201108,I,5
201109,I,5
201110,I,2
201111,I,4
201112,I,2
201201,I,3
201202,I,5
201203,I,1
201204,I,7
201205,I,6
201206,I,5
201207,I,6
201208,I,11
201209,I,10
201210,I,9
201211,I,16
201212,I,7
201301,I,11
201302,I,10
201303,I,17
201304,I,13
201305,I,10
201306,I,10
201307,I,19
201308,I,21
201309,I,23
201310,I,32
201311,I,31
201312,I,18
201401,I,30
201402,I,48
201403,I,40
201404,I,65
201405,I,93
201406,I,70
201407,I,68
201408,I,115
201409,I,101
201410,I,78
201411,I,78
201412,I,66
201501,I,73
201502,I,66
201503,I,80
201504,I,82
201505,I,87
201506,I,96
201507,I,76
201508,I,117
201509,I,98
201510,I,89
201511,I,98
201512,I,46
201601,I,88
201602,I,79
201603,I,92
201604,I,88
201605,I,95
201606,I,72
201607,I,56
201608,I,94
201609,I,75
201610,I,66
201611,I,75
201612,I,52
201701,I,68
201702,I,63
201703,I,71
201704,I,68
201705,I,90
201706,I,58
201707,I,45
201708,I,84
201709,I,77
201710,I,65
201711,I,64
201712,I,42
201801,I,70
201802,I,52
201803,I,62
201804,I,91
201805,I,86
201806,I,57
201807,I,41
201808,I,86
201809,I,77
201810,I,63
201811,I,55
201812,I,46
201901,I,43
201902,I,63
201903,I,54
201904,I,61
201905,I,71
201906,I,37
201907,I,52
201908,I,72
201909,I,67
201910,I,58
201911,I,55
201912,I,41
202001,I,57
202002,I,52
202003,I,71
202004,I,42
202005,I,32
202006,I,35
202007,I,22
202008,I,22
202009,I,29
202010,I,42
202011,I,30
202012,I,32
202101,I,39
202102,I,37
202103,I,26
202104,I,32
202105,I,37
202106,I,43
202107,I,41
202108,I,82
202109,I,62
202110,I,58
202111,I,55
202112,I,45
202201,I,49
202202,I,57
202203,I,61
202204,I,40
202205,I,45
202206,I,56
202207,I,43
202208,I,78
202209,I,72
202210,I,57
202211,I,62
202212,I,52
202301,I,60
202302,I,63
202303,I,62
202304,I,70
202305,I,68
202306,I,46
202307,I,55
202308,I,87
202309,I,81
202310,I,67
202311,I,72
202312,I,68
202401,I,54
202402,I,70
202403,I,66
202404,I,74
202405,I,81
202406,I,78
202407,I,61
202408,I,37
201010,J,1
201012,J,1
201102,J,1
201103,J,1
201106,J,1
201109,J,2
201111,J,1
201112,J,5
201201,J,3
201202,J,1
201203,J,1
201204,J,1
201205,J,3
201206,J,4
201207,J,1
201208,J,1
201209,J,4
201210,J,2
201211,J,3
201212,J,5
201301,J,3
201302,J,4
201303,J,4
201304,J,7
201305,J,3
201306,J,2
201307,J,11
201308,J,10
201309,J,7
201310,J,13
201311,J,9
201312,J,6
201401,J,12
201402,J,14
201403,J,31
201404,J,29
201405,J,58
201406,J,28
201407,J,28
201408,J,40
201409,J,37
201410,J,33
201411,J,25
201412,J,15
201501,J,18
201502,J,23
201503,J,27
201504,J,39
201505,J,39
201506,J,23
201507,J,25
201508,J,33
201509,J,29
201510,J,32
201511,J,25
201512,J,14
201601,J,33
201602,J,23
201603,J,40
201604,J,56
201605,J,40
201606,J,26
201607,J,17
201608,J,44
201609,J,43
201610,J,25
201611,J,24
201612,J,19
201701,J,19
201702,J,21
201703,J,49
201704,J,36
201705,J,42
201706,J,26
201707,J,19
201708,J,33
201709,J,39
201710,J,25
201711,J,28
201712,J,16
201801,J,19
201802,J,31
201803,J,59
201804,J,73
201805,J,50
201806,J,25
201807,J,26
201808,J,41
201809,J,29
201810,J,25
201811,J,31
201812,J,23
201901,J,24
201902,J,43
201903,J,34
201904,J,41
201905,J,54
201906,J,39
201907,J,29
201908,J,45
201909,J,52
201910,J,42
201911,J,51
201912,J,25
202001,J,24
202002,J,24
202003,J,209
202004,J,127
202005,J,83
202006,J,176
202007,J,278
202008,J,321
202009,J,164
202010,J,96
202011,J,110
202012,J,104
202101,J,141
202102,J,160
202103,J,170
202104,J,95
202105,J,100
202106,J,101
202107,J,94
202108,J,141
202109,J,85
202110,J,66
202111,J,71
202112,J,128
202201,J,535
202202,J,128
202203,J,61
202204,J,49
202205,J,130
202206,J,203
202207,J,82
202208,J,88
202209,J,108
202210,J,73
202211,J,108
202212,J,117
202301,J,66
202302,J,63
202303,J,133
202304,J,123
202305,J,169
202306,J,116
202307,J,75
202308,J,110
202309,J,83
202310,J,74
202311,J,55
202312,J,92
202401,J,88
202402,J,89
202403,J,89
202404,J,276
202405,J,206
202406,J,143
202407,J,88
202408,J,60
201102,K,1
201104,K,1
201105,K,2
201106,K,2
201107,K,3
201108,K,3
201109,K,3
201110,K,2
201111,K,7
201112,K,3
201201,K,3
201202,K,2
201203,K,5
201204,K,4
201205,K,10
201206,K,5
201207,K,6
201208,K,5
201209,K,9
201210,K,10
201211,K,6
201212,K,5
201301,K,13
201302,K,5
201303,K,10
201304,K,14
201305,K,10
201306,K,8
201307,K,20
201308,K,29
201309,K,25
201310,K,23
201311,K,29
201312,K,14
201401,K,22
201402,K,24
201403,K,32
201404,K,59
201405,K,79
201406,K,56
201407,K,53
201408,K,90
201409,K,85
201410,K,87
201411,K,78
201412,K,30
201501,K,52
201502,K,58
201503,K,60
201504,K,68
201505,K,77
